playID,playerID,team,frame_num,x,y,position,speed,acceleration,distance,direction,event
1,3,offense,3,80.97045135498047,34.9991569519043,player,0.0,0,0.0,0,
1,4,defense,3,69.42743682861328,19.29676055908203,player,0.0,0,0.0,0,
1,5,offense,3,79.85990142822266,33.20756530761719,player,0.0,0,0.0,0,
1,6,defense,3,77.87503051757812,24.725112915039062,player,0.0,0,0.0,0,
1,7,defense,3,75.06466674804688,24.50302505493164,player,0.0,0,0.0,0,
1,9,defense,3,77.51353454589844,19.30582046508789,player,0.0,0,0.0,0,
1,10,offense,3,80.0274658203125,18.66669464111328,player,0.0,0,0.0,0,
1,11,offense,3,83.59412384033203,21.014829635620117,player,0.0,0,0.0,0,
1,12,defense,3,76.85971069335938,30.40510368347168,player,0.0,0,0.0,0,
1,13,defense,3,75.90516662597656,18.57752227783203,player,0.0,0,0.0,0,
